,sqft,beds,baths,lot_size,year_built,address,Bronx,Brooklyn,Manhattan,New York,Queens,Staten Island,Condo,Land,Multi-Family Home,Single Family Home,sale_price
52,1628.0,2.0,2.0,3700.0,1920.0,179 Llewellyn Pl,0,0,0,0,0,1,0,0,0,1,640000.0
53,1400.0,3.0,1.5,3400.0,1999.0,1295 Arden Ave,0,0,0,0,0,1,0,0,0,1,600000.0
54,928.0,3.0,1.0,1600.0,1940.0,25 Brighton 5th Ln,0,1,0,0,0,0,0,0,0,1,455000.0
55,5712.0,12.0,6.0,2614.0,1931.0,70-42 66th St,0,0,0,0,1,0,0,0,1,0,1275000.0
56,1660.0,3.0,2.5,6808.0,1935.0,153 Sampson Ave,0,0,0,0,0,1,0,0,0,1,629000.0
57,1220.0,3.0,2.0,1914.0,1960.0,112 S Railroad Ave,0,0,0,0,0,1,0,0,0,1,539000.0
58,1184.0,3.0,1.0,1742.0,1945.0,66-14 Booth St,0,0,0,0,1,0,0,0,0,1,845000.0
59,1230.0,3.0,1.5,2333.0,1960.0,176 Macfarland Ave,0,0,0,0,0,1,0,0,0,1,604888.0
60,1620.0,4.0,2.5,2000.0,1930.0,122 Avenue N,0,1,0,0,0,0,0,0,0,1,775000.0
61,5000.0,3.0,4.5,9300.0,2020.0,101 Manee Ave,0,0,0,0,0,1,0,0,0,1,1500000.0
62,3260.0,3.0,2.5,14810.413600000002,1935.0,25 Carlton Pl,0,0,0,0,0,1,0,0,0,1,1400000.0
63,2256.0,4.0,3.5,4000.0,2020.0,246 Crown Ave,0,0,0,0,0,1,0,0,0,1,979999.0
64,1701.0,2.0,1.0,2614.0,1955.0,66-53 Alderton St,0,0,0,1,0,0,0,0,0,1,770000.0
65,1376.0,4.0,2.0,8480.0,1910.0,1598 Richmond Ave,0,0,0,0,0,1,0,0,0,1,715000.0
66,2160.0,3.0,3.5,2520.0,2001.0,70 Ambassador Ln,0,0,0,0,0,1,0,0,0,1,670000.0
67,1400.0,3.0,2.5,1900.0,1999.0,137 Grimsby St,0,0,0,0,0,1,0,0,0,1,400000.0
68,1224.0,3.0,2.0,1800.0,1930.0,2045 Ford St,0,1,0,0,0,0,0,0,0,1,725000.0
69,1584.0,3.0,1.0,2700.0,1925.0,436 Clove Rd,0,0,0,0,0,1,0,0,0,1,500000.0
70,1900.0,4.0,2.0,1742.0,1899.0,687 Madison St,0,1,0,0,0,0,0,0,1,0,1275000.0
71,2444.0,3.0,3.0,3900.0,1987.0,988 Rathbun Ave,0,0,0,0,0,1,0,0,0,1,895000.0
72,2700.0,4.0,2.5,4800.0,2001.0,171 Manhattan St,0,0,0,0,0,1,0,0,0,1,999900.0
73,2200.0,4.0,2.5,4085.0,2000.0,3397 Richmond Ave,0,0,0,0,0,1,0,0,0,1,920000.0
74,2441.0,4.0,3.5,4500.0,1970.0,484 Ashworth Ave,0,0,0,0,0,1,0,0,0,1,804000.0
75,1396.0,4.0,1.5,3760.0,1920.0,57 Allen Ct,0,0,0,0,0,1,0,0,0,1,690000.0
76,1120.0,2.0,3.0,7200.0,1925.0,31 Frank Ct,0,1,0,0,0,0,0,0,0,1,850000.0
77,2408.0,3.0,3.0,4480.0,1920.0,42 Pearsall St,0,0,0,0,0,1,0,0,0,1,685000.0
78,2297.0,4.0,1.5,2496.0,1986.0,20 Dina Ct,0,0,0,0,0,1,0,0,0,1,710000.0
79,2196.0,3.0,2.0,4000.0,1901.0,41 Cannon Ave,0,0,0,0,0,1,0,0,0,1,680000.0
80,1256.0,3.0,2.0,3335.0,1925.0,13 Howard Ct,0,0,0,0,0,1,0,0,0,1,443000.0
81,1492.0,3.0,2.5,2380.0,2005.0,52 Santa Monica Ln,0,0,0,0,0,1,0,0,0,1,635000.0
82,2304.0,4.0,2.0,1950.0,2019.0,25 Milbank Rd,0,0,0,0,0,1,0,0,0,1,580000.0
83,2040.0,4.0,2.0,1892.0,1955.0,1873 Shore Pkwy,0,1,0,0,0,0,0,0,1,0,988000.0
84,2007.0,5.0,3.0,3800.0,1947.0,39 Austin Ave,0,0,0,0,0,1,0,0,0,1,625000.0
85,1152.0,3.0,1.5,2600.0,1960.0,2683 E 63rd St,0,1,0,0,0,0,0,0,0,1,770000.0
86,1344.0,3.0,2.0,2377.0,1925.0,9105 Colonial Rd,0,1,0,0,0,0,0,0,0,1,1365000.0
87,3063.0,4.0,2.5,6900.0,1925.0,34 Colonial Ct,0,0,0,0,0,1,0,0,0,1,1070000.0
88,1040.0,3.0,1.0,3745.0,1930.0,25 Virginia Pl,0,0,0,0,0,1,0,0,0,1,560000.0
89,1456.0,3.0,1.5,2200.0,1979.0,447 Dongan Hills Ave,0,0,0,0,0,1,0,0,0,1,580000.0
90,1600.0,3.0,3.5,2500.0,2004.0,71 Waldron Ave,0,0,0,0,0,1,0,0,0,1,690000.0
91,1028.0,2.0,2.5,1890.0,1913.0,1713 E 93rd St,0,1,0,0,0,0,0,0,0,1,575000.0
92,1836.0,4.0,2.5,2397.0,1940.0,1951 19th Ln,0,1,0,0,0,0,0,0,1,0,950000.0
93,1953.0,6.0,4.5,2205.0,2003.0,3530 Bronxwood Ave,1,0,0,0,0,0,0,0,1,0,728000.0
94,2650.0,7.0,5.0,2614.0,1899.0,73 Kingsland Ave,0,1,0,0,0,0,0,0,1,0,1558000.0
95,1520.0,3.0,2.0,2178.0,1940.0,50-32 64 St,0,0,0,1,0,0,0,0,0,1,865000.0
96,2392.0,4.0,4.5,4792.0,1950.0,159-13 85 St,0,0,0,0,1,0,0,0,0,1,1270000.0
97,1200.0,3.0,3.0,3485.0,1925.0,90-10 195th Pl,0,0,0,0,1,0,0,0,0,1,685000.0
98,3000.0,8.0,5.0,4792.0,2006.0,243-04 149th Ave,0,0,0,1,0,0,0,0,1,0,1175000.0
99,1554.0,2.0,2.0,1316.0,2000.0,64 Alex Cir,0,0,0,0,0,1,0,0,0,1,555000.0
100,3000.0,4.0,3.0,4400.0,1990.0,915 Bard Ave,0,0,0,0,0,1,0,0,0,1,946000.0
101,7200.0,5.0,4.5,14810.413600000002,2001.0,15 Ocean Ct,0,0,0,0,0,1,0,0,0,1,2200000.0
102,1192.0,2.0,1.5,1890.0,1989.0,94 Church Ave,0,0,0,0,0,1,1,0,0,0,552000.0
103,1632.0,3.0,2.5,3432.0,1980.0,263 Grantwood Ave,0,0,0,0,0,1,0,0,0,1,670000.0
104,1472.0,3.0,1.5,2400.0,1975.0,85 Woehrle Ave,0,0,0,0,0,1,0,0,0,1,620000.0
105,1296.0,3.0,1.5,2400.0,1970.0,12 Signs Rd,0,0,0,0,0,1,0,0,0,1,620000.0
106,1084.0,3.0,1.5,2001.0,1975.0,421 Riedel Ave,0,0,0,0,0,1,0,0,0,1,580000.0
107,2160.0,3.0,2.5,2712.0,1979.0,251 Slater Blvd,0,0,0,0,0,1,0,0,0,1,638000.0
108,936.0,2.0,1.5,806.0,1988.0,12 Kathy Ct,0,0,0,0,0,1,1,0,0,0,490000.0
109,2192.0,3.0,4.0,5000.0,1965.0,96 Durant Ave,0,0,0,0,0,1,0,0,0,1,985000.0
110,1500.0,3.0,3.5,2400.0,2018.0,164 Hopkins Ave,0,0,0,0,0,1,0,0,0,1,700000.0
