,sqft,beds,baths,lot_size,year_built,address,property_type,neighborhood,borough,sale_price
0,1120.0,4.0,1.0,940.0,1920,256 E 43rd St,Single Family Home,East Flatbush,Brooklyn,407986.0
1,2025.0,4.0,2.5,2352.0,1986,47 Ilyse Ct,Single Family Home,Great Kills,Staten Island,700000.0
2,1196.0,3.0,2.5,4200.0,1965,370 Tysens Ln,Single Family Home,Oakwood,Staten Island,700000.0
3,1513.0,3.0,2.5,2886.0,1975,486 Castleton Ave,Single Family Home,Randall Manor,Staten Island,550000.0
4,840.0,2.0,1.5,696.0,1988,10 Sea Breeze Ln,Condo,Tottenville,Staten Island,380000.0
5,2563.0,6.0,3.5,-1.0,1910,57 Wellington Ct,Single Family Home,Flatbush,Brooklyn,1799000.0
6,2296.0,3.0,2.5,4680.0,1969,158 Benedict Ave,Single Family Home,Westerleigh,Staten Island,735000.0
7,1500.0,2.0,1.0,12196.811200000002,1949,181 3rd St,Condo,New Dorp,Staten Island,265000.0
8,1100.0,2.0,2.0,-1.0,1939,5444 Arlington Ave Apt G12,-1,Riverdale,Bronx,350000.0
9,794.0,1.0,1.0,-1.0,1975,1601 3rd Ave Apt 5D,-1,Upper East Side,Manhattan,815000.0
10,2200.0,5.0,3.0,-1.0,1989,127 George St,Multi-Family Home,Bushwick,Brooklyn,1495000.0
11,1000.0,1.0,1.0,-1.0,1939,720 Fort Washington Ave Apt 6F,-1,Washington Heights,Manhattan,589000.0
12,-1.0,3.0,1.0,-1.0,1940,357 6th Ave Apt 4,-1,Park Slope,Brooklyn,1625000.0
13,928.0,2.0,1.0,-1.0,1872,305 E 4th St # Fl,-1,East Village,Manhattan,1020000.0
14,922.0,2.0,1.0,-1.0,2007,52 3rd Ave Apt 5B,-1,Boerum Hill,Brooklyn,1230000.0
15,-1.0,1.0,1.0,-1.0,1965,333 E 14th St Apt 2D,-1,Gramercy Park,Manhattan,920000.0
16,902.0,1.0,1.0,-1.0,2016,265 State St Apt 1112,-1,Boerum Hill,Brooklyn,1115000.0
17,-1.0,2.0,2.0,-1.0,1924,310 W 72nd St Unit 11E,-1,Upper West Side,Manhattan,1450000.0
18,1305.0,3.0,2.5,-1.0,1940,4967 Henry Hudson Pkwy Unit Townhouse,-1,Riverdale,Bronx,725000.0
19,-1.0,2.0,1.0,-1.0,-1,656 Carroll St Apt 2R,-1,Park Slope,Brooklyn,1225000.0
20,1302.0,2.0,2.5,-1.0,2020,150 E 23rd St Apt 10D,-1,Gramercy Park,Manhattan,2525000.0
21,1376.0,3.0,1.5,-1.0,1911,520 W 110th St Apt 3C,-1,Upper West Side,Manhattan,1475000.0
22,-1.0,1.0,1.0,-1.0,1930,264 6th Ave Apt 3A,-1,Park Slope,Brooklyn,670000.0
23,-1.0,-1.0,0.0,4300.0,-1,Ricmond Hill Rd,Land,-1,Staten Island,-1.0
24,773.0,1.0,1.0,-1.0,1986,225 W 83rd St Apt 6Z,-1,Upper West Side,Manhattan,870000.0
25,-1.0,0.0,1.0,-1.0,1930,10 Station Sq Apt R26,-1,Forest Hills,New York,181000.0
26,725.0,1.0,1.0,-1.0,1939,83-80 118th St Unit 5C,-1,Kew Gardens,New York,249888.0
27,900.0,2.0,1.0,-1.0,1950,83-83 118 St Unit Ij,-1,Kew Gardens,New York,345000.0
28,1510.0,2.0,1.5,2220.0,1989,119 Milton Ave,Condo,New Dorp Beach,Staten Island,493000.0
29,3000.0,5.0,-1.0,6098.0,2019,53-08 Concord St,Single Family Home,Little Neck,New York,1890000.0
30,-1.0,7.0,4.0,2614.0,1930,191-11 42nd Ave,Multi-Family Home,Auburndale,Queens,1350000.0
31,1500.0,3.0,2.0,-1.0,1930,135 E 39th St Apt 4E,-1,Murray Hill,Manhattan,1271000.0
32,1470.0,4.0,2.5,5227.0,1945,248-14 Thornhill Ave,Single Family Home,Douglaston,Queens,910000.0
33,1200.0,3.0,2.0,1840.0,1925,412 Applegate Ct,Single Family Home,Gravesend,Brooklyn,800000.0
34,3000.0,8.0,3.0,2178.0,1901,372 Montauk Ave,Multi-Family Home,East New York,Brooklyn,940000.0
35,1860.0,4.0,4.0,7100.0,1955,27 Titus Ave,Single Family Home,New Dorp Beach,Staten Island,740000.0
36,2503.0,5.0,-1.0,11761.2108,1965,50 Louise Ln,Single Family Home,Emerson Hill,Staten Island,1050000.0
37,1184.0,3.0,2.5,2850.0,1970,84 Acacia Ave,Single Family Home,Great Kills,Staten Island,605000.0
38,3885.0,6.0,4.0,9000.0,1975,331 Detroit Ave,Single Family Home,Annadale,Staten Island,1265000.0
39,1472.0,3.0,1.5,2300.0,1976,98 Stieg Ave,Single Family Home,Great Kills,Staten Island,570000.0
40,2548.0,3.0,2.5,4760.0,1970,314 Caswell Ave,Single Family Home,Westerleigh,Staten Island,888000.0
41,2534.0,4.0,4.0,4000.0,1982,20 Mercer Pl,Single Family Home,Great Kills,Staten Island,989000.0
42,1170.0,3.0,2.0,2000.0,1920,1215 E 94th St,Single Family Home,Canarsie,Brooklyn,630000.0
43,-1.0,4.0,3.0,2000.0,1960,2518 E 63rd St,Multi-Family Home,Mill Basin,Brooklyn,900000.0
44,1368.0,3.0,2.5,2400.0,2000,52 Eagan Ave,Single Family Home,Annadale,Staten Island,650000.0
45,1366.0,2.0,2.0,-1.0,2000,303 W 29th St Apt B,-1,Chelsea,Manhattan,1625000.0
46,1150.0,4.0,1.5,2500.0,1925,244 Hylan Blvd,Single Family Home,Rosebank,Staten Island,440000.0
47,2580.0,5.0,2.5,1620.0,1997,454 Franklin Ave,Multi-Family Home,Bedford-Stuyvesant,Brooklyn,1597000.0
48,-1.0,2.0,2.0,-1.0,1940,151-40 88 St Unit 6B,-1,Howard Beach,Queens,275000.0
49,1680.0,3.0,2.0,-1.0,2010,1927 78th St Apt 3B,-1,Bensonhurst,Brooklyn,899000.0
50,975.0,2.0,1.5,931.0,1986,17 Armond St Unit A,-1,Graniteville,Staten Island,385000.0
51,2016.0,6.0,2.0,-1.0,1920,21437 38th Ave,Single Family Home,Bayside,New York,1450000.0
52,1729.0,3.0,2.0,3750.0,1935,39 Rokeby Pl,Single Family Home,West Brighton,Staten Island,685000.0
53,1900.0,3.0,1.5,-1.0,1935,2443 32nd St,Multi-Family Home,Astoria,New York,985000.0
54,2224.0,7.0,3.0,2000.0,1920,2021 W 13th St,Multi-Family Home,Gravesend,Brooklyn,1220000.0
55,2330.0,3.0,2.5,3116.0,1998,1568 Woodrow Rd,Single Family Home,Woodrow,Staten Island,720000.0
56,1672.0,4.0,2.0,5000.0,1910,17 Winfield St,Multi-Family Home,South Beach,Staten Island,700000.0
57,2278.0,3.0,2.5,1890.0,1940,46 Corbin Pl,Multi-Family Home,Brighton Beach,Brooklyn,1130000.0
58,3296.0,5.0,5.0,9100.0,1990,206 Darlington Ave,Single Family Home,Huguenot,Staten Island,1150000.0
59,840.0,2.0,1.0,2850.0,1940,41 Sprague Ave,Single Family Home,Tottenville,Staten Island,450000.0
60,1800.0,3.0,2.0,5000.0,1901,136 Arlington Ave,Single Family Home,Mariners Harbor,Staten Island,539000.0
61,-1.0,0.0,0.0,-1.0,1960,2057 E 68th St,Single Family Home,Mill Basin,Brooklyn,680000.0
62,1265.0,2.0,1.5,-1.0,1881,420 12th St Unit B1,-1,Park Slope,Brooklyn,1699000.0
63,945.0,1.0,1.5,-1.0,2016,429 Kent Ave Unit 802,-1,Williamsburg,Brooklyn,1250000.0
64,1815.0,8.0,3.0,2500.0,1920,68 Scribner Ave,Single Family Home,New Brighton,Staten Island,785000.0
65,-1.0,2.0,1.5,-1.0,1867,119 Henry St Unit Garden,-1,Brooklyn Heights,Brooklyn,1495000.0
66,2040.0,1.0,1.5,3132.0,2017,816-818 Patterson Ave,Single Family Home,Midland Beach,Staten Island,640000.0
67,-1.0,1.0,1.5,-1.0,1916,60 Broadway Apt 3A,-1,Williamsburg,Brooklyn,1164000.0
68,920.0,2.0,1.0,-1.0,-1,149 Marine Ave Apt 3D,-1,Bay Ridge,Brooklyn,427500.0
69,860.0,1.0,1.0,-1.0,1929,111 Hicks St Apt 15B,-1,Brooklyn Heights,Brooklyn,825000.0
70,1047.0,2.0,2.0,-1.0,2014,110 Neptune Ave Apt 5J,-1,Brighton Beach,Brooklyn,700000.0
71,1121.0,2.0,2.0,-1.0,1966,137 E 36th St Unit 15K,-1,Murray Hill,Manhattan,885000.0
72,1500.0,3.0,1.5,2700.0,1993,210 Kirshon Ave,Single Family Home,Bulls Head,Staten Island,575000.0
73,-1.0,2.0,1.0,-1.0,1950,2251 Knapp St Apt 1H,-1,Gerritsen Beach,Brooklyn,270000.0
74,800.0,1.0,1.0,-1.0,-1,145 95th St Apt A6,-1,Bay Ridge,Brooklyn,340000.0
75,-1.0,2.0,2.0,-1.0,2017,50 Clinton St Apt 6A,-1,Lower East Side,Manhattan,1775000.0
76,800.0,1.0,1.0,-1.0,1922,110 Clifton Pl Apt 2A,-1,Clinton Hill,Brooklyn,735000.0
77,1070.0,2.0,2.0,-1.0,1997,4-74 48th Ave Ph 2F,-1,Long Island City,New York,810000.0
78,785.0,1.0,1.0,-1.0,2008,70 Berry St Apt 2D,-1,Williamsburg,Brooklyn,1015000.0
79,-1.0,3.0,1.5,-1.0,1901,209 Clinton St Apt 2L,-1,Cobble Hill,Brooklyn,1589000.0
80,800.0,1.0,1.0,-1.0,1958,488 Ocean Pkwy Apt 6G,-1,Kensington,Brooklyn,435000.0
81,-1.0,0.0,1.0,-1.0,1931,10 Park Ave Unit 17E,-1,Murray Hill,Manhattan,510000.0
82,-1.0,1.0,1.0,-1.0,1951,34-20 78 St Unit 6D,-1,Flushing,Queens,295000.0
83,-1.0,1.0,1.0,-1.0,1971,77 Fulton St Apt 15H,-1,Financial District,New York,699000.0
84,768.0,2.0,1.0,-1.0,2018,213 Halsey St Unit 3,-1,Bedford-Stuyvesant,Brooklyn,775000.0
85,697.0,1.0,1.0,-1.0,1989,1330 5th Ave Apt 3D,-1,Harlem,Manhattan,695000.0
86,-1.0,1.0,2.0,-1.0,1892,148 W 80th St Apt 4F,-1,Upper West Side,Manhattan,1225000.0
87,2300.0,3.0,3.0,-1.0,1915,145 W Broadway Fl 2,-1,Tribeca,Manhattan,4295000.0
88,-1.0,0.0,1.0,-1.0,1905,310 E 23rd St Apt 8B,-1,Gramercy Park,Manhattan,442000.0
89,-1.0,2.0,1.0,-1.0,1920,483 12th St Apt 2R,-1,Park Slope,Brooklyn,925000.0
90,-1.0,2.0,2.0,-1.0,1929,81 Irving Pl Unit 12CD,-1,Gramercy Park,Manhattan,1795000.0
91,-1.0,2.0,1.0,-1.0,1950,69-55 136 St Unit 2,-1,Flushing,Queens,335000.0
92,1609.0,3.0,2.0,-1.0,1988,62 Regal Walk Unit A,-1,Graniteville,Staten Island,390000.0
93,1600.0,2.0,2.0,-1.0,1927,444 E 57th St Apt 8D,-1,Midtown East,New York,1524500.0
94,-1.0,1.0,1.0,-1.0,1990,120 E 87th St Unit 10B,-1,Upper East Side,Manhattan,975000.0
95,700.0,2.0,1.0,-1.0,1920,484 8th St Unit A2,-1,Park Slope,Brooklyn,805000.0
96,1520.0,-1.0,-1.0,3045.0,1970,2096 Victory Blvd,Multi-Family Home,Westerleigh,Staten Island,-1.0
97,435.0,0.0,1.0,-1.0,1987,500 W 43rd St Apt 7A,-1,Hell's Kitchen,Manhattan,458000.0
98,600.0,1.0,1.0,-1.0,1971,100 Beekman St Apt 25J,-1,Financial District,New York,739000.0
99,505.0,1.0,1.0,-1.0,1920,1076 Eastern Pkwy Apt 15,-1,Crown Heights,Brooklyn,319000.0
100,3456.0,6.0,2.0,4760.0,1932,289 St Pauls Ave,Single Family Home,Stapleton,Staten Island,575000.0
101,545.0,1.0,1.0,-1.0,-1,108 Jackson St Unit 2B,-1,Williamsburg,Brooklyn,695000.0
102,7365.0,8.0,9.5,2043.0,1921,50 E 81st St,Multi-Family Home,Upper East Side,Manhattan,7700000.0
103,753.0,2.0,1.0,-1.0,1998,4-74 48th Ave Unit 10E,-1,Long Island City,New York,595000.0
