,sqft,beds,baths,lot_size,year_built,address,Bronx,Brooklyn,Manhattan,Queens,Staten Island,Condo,Land,Multi-Family Home,Single Family Home,sale_price
0,-0.757949656208247,0.294422647217402,-1.1988248351470867,-0.6713133275432805,-1.2436635754825534,256 E 43rd St,0,1,0,0,0,0,0,0,1,407986.0
1,0.1480845396260589,0.294422647217402,0.021314374790351,-0.3203187502236089,0.7047605846390076,47 Ilyse Ct,0,0,0,0,1,0,0,0,1,700000.0
2,-0.6818628066133219,-0.3563697290196447,0.021314374790351,0.1390565889313152,0.0848074427821472,370 Tysens Ln,0,0,0,0,1,0,0,0,1,700000.0
3,-0.3645005523818578,-0.3563697290196447,0.021314374790351,-0.1875771749483224,0.3800232246187474,486 Castleton Ave,0,0,0,0,1,0,0,0,1,550000.0
4,-1.0382696284000763,-1.0071621052566917,-0.7921117651679408,-0.7319667814143852,0.7638037410063275,10 Sea Breeze Ln,0,0,0,0,1,1,0,0,0,380000.0
5,0.4193942269974367,-0.3563697290196447,0.021314374790351,0.2583748588416852,0.2028937555167873,158 Benedict Ave,0,0,0,0,1,0,0,0,1,735000.0
6,-0.3775154082336213,-1.0071621052566917,-1.1988248351470867,2.126901749731043,-0.3875378081564129,181 3rd St,0,0,0,0,1,1,0,0,0,265000.0
7,-0.3675039806553417,-1.0071621052566917,-0.7921117651679408,-0.3531312744489607,0.7933253191899876,119 Milton Ave,0,0,0,0,1,1,0,0,0,493000.0
8,-0.4075496909684601,0.294422647217402,0.021314374790351,0.3943479705937109,-0.5056241208910529,248-14 Thornhill Ave,0,0,0,1,0,0,0,0,1,910000.0
9,-0.67785823558201,-0.3563697290196447,-0.3853986951887949,-0.4475915714613369,-1.0960556845642533,412 Applegate Ct,0,1,0,0,0,0,0,0,1,800000.0
10,1.124198728508322,2.8975921521655894,0.428027444769497,-0.363571623066118,-1.8045735609720932,372 Montauk Ave,0,1,0,0,0,0,0,1,0,940000.0
11,-0.0171040154155548,0.294422647217402,1.241453584727789,0.8599378029731336,-0.2104083390544528,27 Titus Ave,0,0,0,0,1,0,0,0,1,740000.0
12,-0.6938765197072574,-0.3563697290196447,0.021314374790351,-0.1965260451916001,0.2324153337004473,84 Acacia Ave,0,0,0,0,1,0,0,0,1,605000.0
13,2.0102100691860687,1.5960073996914956,1.241453584727789,1.3322392880350145,0.3800232246187474,331 Detroit Ave,0,0,0,0,1,0,0,0,1,1265000.0
14,-0.4055474054528042,-0.3563697290196447,-0.7921117651679408,-0.3332448961305657,0.4095448028024074,98 Stieg Ave,0,0,0,0,1,0,0,0,1,570000.0
15,0.6716822019700832,-0.3563697290196447,0.021314374790351,0.2782612371600801,0.2324153337004473,314 Caswell Ave,0,0,0,0,1,0,0,0,1,888000.0
16,0.6576662033604918,0.294422647217402,1.241453584727789,0.0893406431353277,0.5866742719043675,20 Mercer Pl,0,0,0,0,1,0,0,0,1,989000.0
17,-0.7078925183168489,-0.3563697290196447,-0.3853986951887949,-0.4078188148245469,-1.2436635754825534,1215 E 94th St,0,1,0,0,0,0,0,0,1,630000.0
18,-0.5096662522669123,-0.3563697290196447,0.021314374790351,-0.308386923232572,1.1180626792102475,52 Eagan Ave,0,0,0,0,1,0,0,0,1,650000.0
19,-0.7279153734734082,0.294422647217402,-0.7921117651679408,-0.2835289503345782,-1.0960556845642533,244 Hylan Blvd,0,0,0,0,1,0,0,0,1,440000.0
20,0.703718770220578,0.9452150234544489,0.021314374790351,-0.5022791118369231,1.0294979446592676,454 Franklin Ave,0,1,0,0,0,0,0,1,0,1597000.0
21,-0.1482537166910179,-0.3563697290196447,-0.3853986951887949,0.0271957108903434,-0.800839902727653,39 Rokeby Pl,0,0,0,0,1,0,0,0,1,685000.0
22,0.3473119484338234,2.246799775928542,0.428027444769497,-0.4078188148245469,-1.2436635754825534,2021 W 13th St,0,1,0,0,0,0,0,1,0,1220000.0
23,0.4534330807635874,-0.3563697290196447,0.021314374790351,-0.1304038372829368,1.0590195228429278,1568 Woodrow Rd,0,0,0,0,1,0,0,0,1,720000.0
24,-0.2053188538872118,0.294422647217402,-0.3853986951887949,0.3379203721152651,-1.5388793573191537,17 Winfield St,0,0,0,0,1,0,0,1,0,700000.0
25,0.4013736573565334,-0.3563697290196447,0.021314374790351,-0.43516258501234,-0.653232011809353,46 Corbin Pl,0,1,0,0,0,0,0,1,0,1130000.0
26,1.420536984825399,0.9452150234544489,2.054879724686081,1.357097260933008,0.8228468973736476,206 Darlington Ave,0,0,0,0,1,0,0,0,1,1150000.0
27,-1.0382696284000763,-1.0071621052566917,-1.1988248351470867,-0.1965260451916001,-0.653232011809353,41 Sprague Ave,0,0,0,0,1,0,0,0,1,450000.0
28,-0.0771725808852326,-0.3563697290196447,-0.3853986951887949,0.3379203721152651,-1.8045735609720932,136 Arlington Ave,0,0,0,0,1,0,0,0,1,539000.0
29,-0.0621554395178131,2.8975921521655894,0.428027444769497,-0.2835289503345782,-1.2436635754825534,68 Scribner Ave,0,0,0,0,1,0,0,0,1,785000.0
30,0.1631016809934783,-1.657954481493738,-0.7921117651679408,-0.1264265616192578,1.6199295083324678,816-818 Patterson Ave,0,0,0,0,1,0,0,0,1,640000.0
31,-0.3775154082336213,-0.3563697290196447,-0.7921117651679408,-0.2338130045385907,0.9114116319246276,210 Kirshon Ave,0,0,0,0,1,0,0,0,1,575000.0
32,1.580719826077873,1.5960073996914956,-0.3853986951887949,0.2782612371600801,-0.8894046372786332,289 St Pauls Ave,0,0,0,0,1,0,0,0,1,575000.0
