,sqft,beds,baths,lot_size,year_built,address,property_type,neighborhood,borough,sale_price
56,1672.0,4.0,2.0,5000.0,1910.0,17 Winfield St,Multi-Family Home,South Beach,Staten Island,700000.0
57,2278.0,3.0,2.5,1890.0,1940.0,46 Corbin Pl,Multi-Family Home,Brighton Beach,Brooklyn,1130000.0
58,3296.0,5.0,5.0,9100.0,1990.0,206 Darlington Ave,Single Family Home,Huguenot,Staten Island,1150000.0
59,840.0,2.0,1.0,2850.0,1940.0,41 Sprague Ave,Single Family Home,Tottenville,Staten Island,450000.0
60,1800.0,3.0,2.0,5000.0,1901.0,136 Arlington Ave,Single Family Home,Mariners Harbor,Staten Island,539000.0
61,,0.0,0.0,,1960.0,2057 E 68th St,Single Family Home,Mill Basin,Brooklyn,680000.0
62,1265.0,2.0,1.5,,1881.0,420 12th St Unit B1,,Park Slope,Brooklyn,1699000.0
63,945.0,1.0,1.5,,2016.0,429 Kent Ave Unit 802,,Williamsburg,Brooklyn,1250000.0
64,1815.0,8.0,3.0,2500.0,1920.0,68 Scribner Ave,Single Family Home,New Brighton,Staten Island,785000.0
65,,2.0,1.5,,1867.0,119 Henry St Unit Garden,,Brooklyn Heights,Brooklyn,1495000.0
66,2040.0,1.0,1.5,3132.0,2017.0,816-818 Patterson Ave,Single Family Home,Midland Beach,Staten Island,640000.0
67,,1.0,1.5,,1916.0,60 Broadway Apt 3A,,Williamsburg,Brooklyn,1164000.0
68,920.0,2.0,1.0,,,149 Marine Ave Apt 3D,,Bay Ridge,Brooklyn,427500.0
69,860.0,1.0,1.0,,1929.0,111 Hicks St Apt 15B,,Brooklyn Heights,Brooklyn,825000.0
70,1047.0,2.0,2.0,,2014.0,110 Neptune Ave Apt 5J,,Brighton Beach,Brooklyn,700000.0
71,1121.0,2.0,2.0,,1966.0,137 E 36th St Unit 15K,,Murray Hill,Manhattan,885000.0
72,1500.0,3.0,1.5,2700.0,1993.0,210 Kirshon Ave,Single Family Home,Bulls Head,Staten Island,575000.0
73,,2.0,1.0,,1950.0,2251 Knapp St Apt 1H,,Gerritsen Beach,Brooklyn,270000.0
74,800.0,1.0,1.0,,,145 95th St Apt A6,,Bay Ridge,Brooklyn,340000.0
75,,2.0,2.0,,2017.0,50 Clinton St Apt 6A,,Lower East Side,Manhattan,1775000.0
76,800.0,1.0,1.0,,1922.0,110 Clifton Pl Apt 2A,,Clinton Hill,Brooklyn,735000.0
77,1070.0,2.0,2.0,,1997.0,4-74 48th Ave Ph 2F,,Long Island City,New York,810000.0
78,785.0,1.0,1.0,,2008.0,70 Berry St Apt 2D,,Williamsburg,Brooklyn,1015000.0
79,,3.0,1.5,,1901.0,209 Clinton St Apt 2L,,Cobble Hill,Brooklyn,1589000.0
80,800.0,1.0,1.0,,1958.0,488 Ocean Pkwy Apt 6G,,Kensington,Brooklyn,435000.0
81,,0.0,1.0,,1931.0,10 Park Ave Unit 17E,,Murray Hill,Manhattan,510000.0
82,,1.0,1.0,,1951.0,34-20 78 St Unit 6D,,Flushing,Queens,295000.0
83,,1.0,1.0,,1971.0,77 Fulton St Apt 15H,,Financial District,New York,699000.0
84,768.0,2.0,1.0,,2018.0,213 Halsey St Unit 3,,Bedford-Stuyvesant,Brooklyn,775000.0
85,697.0,1.0,1.0,,1989.0,1330 5th Ave Apt 3D,,Harlem,Manhattan,695000.0
86,,1.0,2.0,,1892.0,148 W 80th St Apt 4F,,Upper West Side,Manhattan,1225000.0
87,2300.0,3.0,3.0,,1915.0,145 W Broadway Fl 2,,Tribeca,Manhattan,4295000.0
88,,0.0,1.0,,1905.0,310 E 23rd St Apt 8B,,Gramercy Park,Manhattan,442000.0
89,,2.0,1.0,,1920.0,483 12th St Apt 2R,,Park Slope,Brooklyn,925000.0
90,,2.0,2.0,,1929.0,81 Irving Pl Unit 12CD,,Gramercy Park,Manhattan,1795000.0
91,,2.0,1.0,,1950.0,69-55 136 St Unit 2,,Flushing,Queens,335000.0
92,1609.0,3.0,2.0,,1988.0,62 Regal Walk Unit A,,Graniteville,Staten Island,390000.0
93,1600.0,2.0,2.0,,1927.0,444 E 57th St Apt 8D,,Midtown East,New York,1524500.0
94,,1.0,1.0,,1990.0,120 E 87th St Unit 10B,,Upper East Side,Manhattan,975000.0
95,700.0,2.0,1.0,,1920.0,484 8th St Unit A2,,Park Slope,Brooklyn,805000.0
96,1520.0,,,3045.0,1970.0,2096 Victory Blvd,Multi-Family Home,Westerleigh,Staten Island,
97,435.0,0.0,1.0,,1987.0,500 W 43rd St Apt 7A,,Hell's Kitchen,Manhattan,458000.0
98,600.0,1.0,1.0,,1971.0,100 Beekman St Apt 25J,,Financial District,New York,739000.0
99,505.0,1.0,1.0,,1920.0,1076 Eastern Pkwy Apt 15,,Crown Heights,Brooklyn,319000.0
100,3456.0,6.0,2.0,4760.0,1932.0,289 St Pauls Ave,Single Family Home,Stapleton,Staten Island,575000.0
101,545.0,1.0,1.0,,,108 Jackson St Unit 2B,,Williamsburg,Brooklyn,695000.0
102,7365.0,8.0,9.5,2043.0,1921.0,50 E 81st St,Multi-Family Home,Upper East Side,Manhattan,7700000.0
103,753.0,2.0,1.0,,1998.0,4-74 48th Ave Unit 10E,,Long Island City,New York,595000.0
104,960.0,3.0,1.5,1742.0,1930.0,32-43 200 St,Single Family Home,Auburndale,Queens,668000.0
105,2640.0,4.0,2.5,5227.0,2007.0,151-36 10th Ave,Single Family Home,Whitestone,New York,1600000.0
106,1998.0,4.0,2.5,1742.0,1960.0,61-53 67th St,Multi-Family Home,Middle Village,New York,870000.0
107,1500.0,3.0,2.5,4356.0,1925.0,147-30 84th Dr,Single Family Home,Briarwood,Queens,890000.0
108,,1.0,1.0,,1955.0,69-37 213 St Unit B,,Oakland Gardens,Queens,230000.0
109,2150.0,6.0,3.0,2178.0,1901.0,845 Crotona Park N,Multi-Family Home,Crotona Park East,Bronx,575000.0
110,,4.0,2.5,1742.0,1901.0,429 37th St,Multi-Family Home,Greenwood Heights,Brooklyn,1268500.0
111,1720.0,3.0,2.5,2178.0,1920.0,89-09 91 St,Single Family Home,Woodhaven,New York,650000.0
112,,2.0,1.0,,1959.0,213-06 75 Ave,Condo,Bayside,New York,360000.0
113,836.0,2.0,1.0,2178.0,1935.0,48-61 207 St,Single Family Home,Bayside,Queens,660000.0
114,,1.0,1.0,,1950.0,252-12 58 Ave Unit Upper,,Little Neck,New York,184000.0
115,900.0,1.0,1.0,,1935.0,117-01 Park Ln S Unit B4H,,Kew Gardens,Queens,365000.0
116,2288.0,5.0,3.0,4760.0,1960.0,94 Dalton Ave,Single Family Home,New Dorp,Staten Island,850000.0
117,4680.0,6.0,5.0,9954.0,1996.0,15 Carolyn Ct,Single Family Home,Pleasant Plains,Staten Island,1525000.0
118,2344.0,5.0,3.0,4400.0,1986.0,951 Bard Ave,Single Family Home,Silver Lake,Staten Island,757000.0
119,1637.0,,2.0,2000.0,1935.0,8316 14th Ave,Multi-Family Home,Dyker Heights,Brooklyn,918000.0
120,2250.0,4.0,3.5,3207.0,2003.0,39 Wycliff Ln,Single Family Home,Huguenot,Staten Island,760000.0
121,1152.0,4.0,2.0,3500.0,1930.0,320 Jewett Ave,Single Family Home,Port Richmond,Staten Island,534000.0
122,1368.0,3.0,2.5,2500.0,1920.0,33 Haughwout Ave,Single Family Home,Port Richmond,Staten Island,605000.0
123,1080.0,3.0,1.5,2886.0,1977.0,264 Giffords Ln,Single Family Home,Great Kills,Staten Island,550000.0
124,,3.0,2.0,4356.0,1930.0,160-12 84th Dr,Multi-Family Home,Jamaica Hills,Queens,970000.0
125,880.0,3.0,1.5,2650.0,1985.0,458 Clifton Ave,Single Family Home,Rosebank,Staten Island,518000.0
126,1438.0,3.0,1.5,2614.0,1920.0,78-17 86th St,Single Family Home,Glendale,Queens,805000.0
127,912.0,3.0,1.0,5246.0,1955.0,349 South Ave,Single Family Home,Mariners Harbor,Staten Island,449000.0
128,1408.0,3.0,1.5,2500.0,1920.0,549 E 28th St,Single Family Home,Flatbush,Brooklyn,749000.0
129,750.0,1.0,1.0,,,2922 Barnes Ave Apt 5D,,Allerton,Bronx,125500.0
130,1628.0,2.0,2.0,3700.0,1920.0,179 Llewellyn Pl,Single Family Home,Westerleigh,Staten Island,640000.0
131,1540.0,2.0,2.0,,2001.0,212 Warren St Apt 8J,,New Dorp,Staten Island,2650000.0
132,1092.0,3.0,2.5,1300.0,2004.0,112 Broad St Unit A,,Stapleton,Staten Island,447500.0
133,,5.0,4.0,,1927.0,1088 Park Ave Unit 12A,,Upper East Side,Manhattan,5500000.0
134,1400.0,3.0,1.5,3400.0,1999.0,1295 Arden Ave,Single Family Home,Eltingville,Staten Island,600000.0
135,,2.0,1.0,,1935.0,5134 30th Ave Apt 2M,,Woodside,New York,415000.0
136,928.0,3.0,1.0,1600.0,1940.0,25 Brighton 5th Ln,Single Family Home,Brighton Beach,Brooklyn,455000.0
137,5712.0,12.0,6.0,2614.0,1931.0,70-42 66th St,Multi-Family Home,Glendale,Queens,1275000.0
138,1660.0,3.0,2.5,6808.0,1935.0,153 Sampson Ave,Single Family Home,Great Kills,Staten Island,629000.0
139,4092.0,,,3000.0,1975.0,1849 78th St,Multi-Family Home,Bensonhurst,Brooklyn,1950000.0
